symbol,adjClose,prev_price,date,persian_date,last_price
شکلر,48795.0,50966.0,2020-05-06,1399-02-17,52040
شکلر,48623.0,48795.0,2020-05-09,1399-02-20,52040
شکلر,46416.0,48623.0,2020-05-10,1399-02-21,52040
شکلر,44725.0,46416.0,2020-05-11,1399-02-22,52040
شکلر,42613.0,44725.0,2020-05-12,1399-02-23,52040
شکلر,43231.0,42613.0,2020-05-13,1399-02-24,52040
شکلر,41676.0,43231.0,2020-05-16,1399-02-27,52040
شکلر,42144.0,41676.0,2020-05-17,1399-02-28,52040
شکلر,44128.0,42144.0,2020-05-18,1399-02-29,52040
شکلر,43214.0,44128.0,2020-05-19,1399-02-30,52040
شکلر,41125.0,43214.0,2020-05-20,1399-02-31,52040
شکلر,39681.0,41125.0,2020-05-23,1399-03-03,52040
شکلر,38074.0,39681.0,2020-05-26,1399-03-06,52040
شکلر,38574.0,38074.0,2020-05-27,1399-03-07,52040
شکلر,40195.0,38574.0,2020-05-30,1399-03-10,52040
شکلر,40651.0,40195.0,2020-05-31,1399-03-11,52040
شکلر,40281.0,40651.0,2020-06-01,1399-03-12,52040
شکلر,40538.0,40281.0,2020-06-02,1399-03-13,52040
شکلر,42253.0,40538.0,2020-06-06,1399-03-17,52040
شکلر,44233.0,42253.0,2020-06-07,1399-03-18,52040
شکلر,42768.0,44233.0,2020-06-08,1399-03-19,52040
شکلر,41364.0,42768.0,2020-06-09,1399-03-20,52040
شکلر,41652.0,41364.0,2020-06-10,1399-03-21,52040
شکلر,42280.0,41652.0,2020-06-13,1399-03-24,52040
شکلر,43200.0,42280.0,2020-06-14,1399-03-25,52040
شکلر,47490.0,43200.0,2020-06-22,1399-04-02,52040
شکلر,49190.0,47490.0,2020-06-23,1399-04-03,52040
شکلر,46930.0,49190.0,2020-06-24,1399-04-04,52040
شکلر,48020.0,46930.0,2020-06-27,1399-04-07,52040
شکلر,45930.0,48020.0,2020-06-28,1399-04-08,52040
شکلر,45430.0,45930.0,2020-06-29,1399-04-09,52040
شکلر,47700.0,45430.0,2020-06-30,1399-04-10,52040
شکلر,50070.0,47700.0,2020-07-01,1399-04-11,52040
شکلر,50960.0,50070.0,2020-07-04,1399-04-14,52040
شکلر,53490.0,50960.0,2020-07-05,1399-04-15,52040
شکلر,56160.0,53490.0,2020-07-06,1399-04-16,52040
شکلر,58570.0,56160.0,2020-07-07,1399-04-17,52040
شکلر,55700.0,58570.0,2020-07-08,1399-04-18,52040
شکلر,54610.0,55700.0,2020-07-11,1399-04-21,52040
شکلر,56960.0,54610.0,2020-07-12,1399-04-22,52040
شکلر,54430.0,56960.0,2020-07-13,1399-04-23,52040
شکلر,52040.0,54430.0,2020-07-14,1399-04-24,52040
شستا,8600.0,,2020-04-15,1399-01-27,35930
شستا,8889.0,8600.0,2020-04-18,1399-01-30,35930
شستا,9027.0,8889.0,2020-04-19,1399-01-31,35930
شستا,9269.0,9027.0,2020-04-20,1399-02-01,35930
شستا,9483.0,9269.0,2020-04-21,1399-02-02,35930
شستا,9722.0,9483.0,2020-04-22,1399-02-03,35930
شستا,10027.0,9722.0,2020-04-25,1399-02-06,35930
شستا,10480.0,10027.0,2020-04-26,1399-02-07,35930
شستا,10926.0,10480.0,2020-04-27,1399-02-08,35930
شستا,11472.0,10926.0,2020-04-28,1399-02-09,35930
شستا,12031.0,11472.0,2020-04-29,1399-02-10,35930
شستا,12636.0,12031.0,2020-05-02,1399-02-13,35930
شستا,13267.0,12636.0,2020-05-03,1399-02-14,35930
شستا,14465.0,13267.0,2020-05-05,1399-02-16,35930
شستا,15188.0,14465.0,2020-05-10,1399-02-21,35930
شستا,15947.0,15188.0,2020-05-11,1399-02-22,35930
شستا,16324.0,15947.0,2020-05-12,1399-02-23,35930
شستا,15548.0,16324.0,2020-05-13,1399-02-24,35930
شستا,14772.0,15548.0,2020-05-16,1399-02-27,35930
شستا,14399.0,14772.0,2020-05-17,1399-02-28,35930
شستا,15118.0,14399.0,2020-05-18,1399-02-29,35930
شستا,15273.0,15118.0,2020-05-19,1399-02-30,35930
شستا,15081.0,15273.0,2020-05-20,1399-02-31,35930
شستا,14430.0,15081.0,2020-05-23,1399-03-03,35930
شستا,13709.0,14430.0,2020-05-26,1399-03-06,35930
شستا,14394.0,13709.0,2020-05-27,1399-03-07,35930
شستا,15113.0,14394.0,2020-05-30,1399-03-10,35930
شستا,15023.0,15113.0,2020-05-31,1399-03-11,35930
شستا,15515.0,15023.0,2020-06-01,1399-03-12,35930
شستا,16215.0,15515.0,2020-06-02,1399-03-13,35930
شستا,17025.0,16215.0,2020-06-06,1399-03-17,35930
شستا,17874.0,17025.0,2020-06-07,1399-03-18,35930
شستا,18276.0,17874.0,2020-06-08,1399-03-19,35930
شستا,18101.0,18276.0,2020-06-09,1399-03-20,35930
شستا,18156.0,18101.0,2020-06-10,1399-03-21,35930
شستا,18430.0,18156.0,2020-06-13,1399-03-24,35930
شستا,17830.0,18430.0,2020-06-14,1399-03-25,35930
شستا,18100.0,17830.0,2020-06-15,1399-03-26,35930
شستا,18310.0,18100.0,2020-06-16,1399-03-27,35930
شستا,19070.0,18310.0,2020-06-20,1399-03-31,35930
شستا,19990.0,19070.0,2020-06-21,1399-04-01,35930
شستا,20980.0,19990.0,2020-06-22,1399-04-02,35930
شستا,21860.0,20980.0,2020-06-23,1399-04-03,35930
شستا,22540.0,21860.0,2020-06-24,1399-04-04,35930
شستا,23660.0,22540.0,2020-06-27,1399-04-07,35930
شستا,24660.0,23660.0,2020-06-28,1399-04-08,35930
شستا,25480.0,24660.0,2020-06-29,1399-04-09,35930
شستا,26750.0,25480.0,2020-06-30,1399-04-10,35930
شستا,27890.0,26750.0,2020-07-01,1399-04-11,35930
شستا,29280.0,27890.0,2020-07-08,1399-04-18,35930
شستا,30740.0,29280.0,2020-07-11,1399-04-21,35930
شستا,32270.0,30740.0,2020-07-12,1399-04-22,35930
شستا,33880.0,32270.0,2020-07-13,1399-04-23,35930
شستا,35570.0,33880.0,2020-07-14,1399-04-24,35930
شستا,35930.0,35570.0,2020-07-15,1399-04-25,35930
سدور,6477.0,,2020-04-04,1399-01-16,12700
سدور,6724.0,6477.0,2020-04-05,1399-01-17,12700
سدور,6975.0,6724.0,2020-04-06,1399-01-18,12700
سدور,7064.0,6975.0,2020-04-07,1399-01-19,12700
سدور,7197.0,7064.0,2020-04-08,1399-01-20,12700
سدور,7538.0,7197.0,2020-04-11,1399-01-23,12700
سدور,7811.0,7538.0,2020-04-12,1399-01-24,12700
سدور,8095.0,7811.0,2020-04-13,1399-01-25,12700
سدور,8047.0,8095.0,2020-04-14,1399-01-26,12700
سدور,8258.0,8047.0,2020-04-15,1399-01-27,12700
سدور,8601.0,8258.0,2020-04-18,1399-01-30,12700
سدور,8937.0,8601.0,2020-04-19,1399-01-31,12700
سدور,9023.0,8937.0,2020-04-20,1399-02-01,12700
سدور,8874.0,9023.0,2020-04-21,1399-02-02,12700
سدور,8756.0,8874.0,2020-04-22,1399-02-03,12700
سدور,9148.0,8756.0,2020-04-25,1399-02-06,12700
سدور,9459.0,9148.0,2020-04-26,1399-02-07,12700
سدور,9758.0,9459.0,2020-04-27,1399-02-08,12700
سدور,10081.0,9758.0,2020-04-28,1399-02-09,12700
سدور,10543.0,10081.0,2020-04-29,1399-02-10,12700
سدور,11002.0,10543.0,2020-05-02,1399-02-13,12700
سدور,11547.0,11002.0,2020-05-03,1399-02-14,12700
سدور,12575.0,11547.0,2020-05-09,1399-02-20,12700
سدور,13183.0,12575.0,2020-05-10,1399-02-21,12700
سدور,12980.0,13183.0,2020-05-11,1399-02-22,12700
سدور,12782.0,12980.0,2020-05-12,1399-02-23,12700
سدور,12167.0,12782.0,2020-05-13,1399-02-24,12700
سدور,11716.0,12167.0,2020-05-19,1399-02-30,12700
سدور,11557.0,11716.0,2020-05-20,1399-02-31,12700
سدور,11472.0,11557.0,2020-05-23,1399-03-03,12700
سدور,11452.0,11472.0,2020-05-26,1399-03-06,12700
سدور,10899.0,11452.0,2020-05-27,1399-03-07,12700
سدور,11179.0,10899.0,2020-05-30,1399-03-10,12700
سدور,10704.0,11179.0,2020-05-31,1399-03-11,12700
سدور,10197.0,10704.0,2020-06-01,1399-03-12,12700
سدور,10507.0,10197.0,2020-06-02,1399-03-13,12700
سدور,10673.0,10507.0,2020-06-06,1399-03-17,12700
سدور,10910.0,10673.0,2020-06-07,1399-03-18,12700
سدور,11347.0,10910.0,2020-06-08,1399-03-19,12700
سدور,11585.0,11347.0,2020-06-09,1399-03-20,12700
سدور,11713.0,11585.0,2020-06-10,1399-03-21,12700
سدور,11870.0,11713.0,2020-06-13,1399-03-24,12700
سدور,12190.0,11870.0,2020-06-14,1399-03-25,12700
سدور,13480.0,12190.0,2020-06-22,1399-04-02,12700
سدور,14060.0,13480.0,2020-06-23,1399-04-03,12700
سدور,14440.0,14060.0,2020-06-24,1399-04-04,12700
سدور,15160.0,14440.0,2020-06-27,1399-04-07,12700
