last_price,persian_date,adjClose,date,prev_price,symbol
44220,1399-02-20,33351.0,2020-05-09,32973.0,زکوثر
44220,1399-02-21,32066.0,2020-05-10,33351.0,زکوثر
44220,1399-02-22,30702.0,2020-05-11,32066.0,زکوثر
44220,1399-02-23,29791.0,2020-05-12,30702.0,زکوثر
44220,1399-02-24,30238.0,2020-05-13,29791.0,زکوثر
44220,1399-02-27,29197.0,2020-05-16,30238.0,زکوثر
44220,1399-02-28,30081.0,2020-05-17,29197.0,زکوثر
44220,1399-02-29,31585.0,2020-05-18,30081.0,زکوثر
44220,1399-02-30,33091.0,2020-05-19,31585.0,زکوثر
44220,1399-02-31,32005.0,2020-05-20,33091.0,زکوثر
44220,1399-03-03,30496.0,2020-05-23,32005.0,زکوثر
44220,1399-03-06,28986.0,2020-05-26,30496.0,زکوثر
44220,1399-03-07,28431.0,2020-05-27,28986.0,زکوثر
44220,1399-03-10,29842.0,2020-05-30,28431.0,زکوثر
44220,1399-03-11,28851.0,2020-05-31,29842.0,زکوثر
44220,1399-03-12,29037.0,2020-06-01,28851.0,زکوثر
44220,1399-03-13,30320.0,2020-06-02,29037.0,زکوثر
44220,1399-03-17,31836.0,2020-06-06,30320.0,زکوثر
44220,1399-03-18,33427.0,2020-06-07,31836.0,زکوثر
44220,1399-03-19,34791.0,2020-06-08,33427.0,زکوثر
44220,1399-03-20,36342.0,2020-06-09,34791.0,زکوثر
44220,1399-03-21,38036.0,2020-06-10,36342.0,زکوثر
44220,1399-03-24,39840.0,2020-06-13,38036.0,زکوثر
44220,1399-03-25,40650.0,2020-06-14,39840.0,زکوثر
44220,1399-03-26,39150.0,2020-06-15,40650.0,زکوثر
44220,1399-03-27,40960.0,2020-06-16,39150.0,زکوثر
44220,1399-03-31,42620.0,2020-06-20,40960.0,زکوثر
44220,1399-04-01,41200.0,2020-06-21,42620.0,زکوثر
44220,1399-04-02,42800.0,2020-06-22,41200.0,زکوثر
44220,1399-04-03,43520.0,2020-06-23,42800.0,زکوثر
44220,1399-04-07,43300.0,2020-06-27,43520.0,زکوثر
44220,1399-04-08,41280.0,2020-06-28,43300.0,زکوثر
44220,1399-04-09,40100.0,2020-06-29,41280.0,زکوثر
44220,1399-04-10,42030.0,2020-06-30,40100.0,زکوثر
44220,1399-04-11,42310.0,2020-07-01,42030.0,زکوثر
44220,1399-04-14,40590.0,2020-07-04,42310.0,زکوثر
44220,1399-04-15,40650.0,2020-07-05,40590.0,زکوثر
44220,1399-04-16,42630.0,2020-07-06,40650.0,زکوثر
44220,1399-04-17,41010.0,2020-07-07,42630.0,زکوثر
44220,1399-04-18,39270.0,2020-07-08,41010.0,زکوثر
44220,1399-04-21,38970.0,2020-07-11,39270.0,زکوثر
44220,1399-04-22,40790.0,2020-07-12,38970.0,زکوثر
44220,1399-04-23,40550.0,2020-07-13,40790.0,زکوثر
44220,1399-04-24,39800.0,2020-07-14,40550.0,زکوثر
44220,1399-04-25,40780.0,2020-07-15,39800.0,زکوثر
44220,1399-04-28,42730.0,2020-07-18,40780.0,زکوثر
44220,1399-04-29,44620.0,2020-07-19,42730.0,زکوثر
44220,1399-04-30,44220.0,2020-07-20,44620.0,زکوثر
9610,1399-02-07,2729.0,2020-04-26,,خگستر
9610,1399-02-08,2863.0,2020-04-27,2729.0,خگستر
9610,1399-02-09,3006.0,2020-04-28,2863.0,خگستر
9610,1399-02-10,3156.0,2020-04-29,3006.0,خگستر
9610,1399-02-13,3313.0,2020-05-02,3156.0,خگستر
9610,1399-02-14,3478.0,2020-05-03,3313.0,خگستر
9610,1399-02-15,3651.0,2020-05-04,3478.0,خگستر
9610,1399-02-16,3761.0,2020-05-05,3651.0,خگستر
9610,1399-02-17,3894.0,2020-05-06,3761.0,خگستر
9610,1399-02-20,4088.0,2020-05-09,3894.0,خگستر
9610,1399-02-21,4292.0,2020-05-10,4088.0,خگستر
